Atp13a3	Q5XF89
Atp13a4	Q5XF90
Atp13a5	Q3TYU2
Atp1a1	Q8VDN2
Atp1a2	Q6PIE5
Atp1a3	Q6PIC6
Atp1a4	Q9WV27
Atp1b1	P14094
Atp1b2	P14231
Atp1b3	P97370
Atp1b4	Q99ME6
Atp2a1	Q8R429
Atp2a2	O55143
Atp2a3	Q64518
Atp2b1	G5E829
Atp2b2	Q9R0K7
Atp2b4	Q6Q477
Atp2c1	Q80XR2
Atp2c2	A7L9Z8
Etnppl	Q8BWU8
Phykpl	Q8R1K4
Atp5pb	Q9CQQ7
Atp5mc1	Q9CR84
Atp5mc2	P56383
Atp5mc3	P56384
Atxn7l1	Q9CZ05
Atxn7l3	A2AWT3
Atp8a1	P70704
Atp8a2	P98200
Atp8b1	Q148W0
Atp8b2	P98199
Atp8b3	Q6UQ17
Atp8b5	A3FIN4
Atad1	Q9D5T0
Atad2	Q8CDM1
Atad3	Q925I1
Atad5	Q4QY64
Atat1	Q8K341
Atcay	Q8BHE3
Ate1	Q9Z2A5
Atf1	P81269
Atf2	P16951
Atf3	Q60765
Atf4	Q06507
Atf5	O70191
Atf6	F6VAN0
Atf6b	O35451
Atf7	Q8R0S1
Atg10	Q8R1P4
Atg12	Q9CQY1
Atg13	Q91YI1
Atg2a	Q6P4T0
Atg2b	Q80XK6
Atg3	Q9CPX6
Atg4a	Q8C9S8
Atg4b	Q8BGE6
Atg4c	Q811C2
Atg4d	Q8BGV9
Atg5	Q99J83
Atg7	Q9D906
Atg9a	Q68FE2
Atg9b	Q6EBV9
Atg101	Q9D8Z6
Atp5if1	O35143
Adamtsl1	Q8BLI0
Adamtsl2	Q7TSK7
Adamtsl4	Q80T21
Atl1	Q8BH66
Atl2	Q6PA06
Atl3	Q91YH5
Atmin	Q6P9S1
Atm	Q62388
Atn1	O35126
Fxyd2	Q04646
Atoh1	P48985
Atoh7	Q9Z2E5
Atoh8	Q99NA2
Atosa	Q69ZK7
Atosb	Q8BR27
Atox1	O08997
Atp23	Q9CWQ3
Atp4a	Q64436
Atp4b	P50992
Atp5f1e	P56382
Atp5pd	Q9DCX2
Atp5me	Q06185
Atp5pf	P97450
Atp5mg	Q9CPQ8
Dmac2l	Q9CRA7
Atp5mpl	P56379
Mtatp6	P00848
Atp7a	Q64430
Atp7b	Q64446
Mtatp8	P03930
Atp9a	O70228
Atp9b	P98195
Atp5f1a	Q03265
Atp5f1b	P56480
Atp5f1d	Q9D3D9
Atpaf1	Q811I0
Atpaf2	Q91YY4
Atp5f1c	Q91VR2
Atp5mf	P56135
Atp5mk	Q78IK2
Atp5po	Q9DB20
Agtrap	Q9WVK0
Atrip	Q8BMG1
Atrnl1	Q6A051
Atrn	Q9WU60
Atrx	Q61687
Atr	Q9JKK8
Adamts10	P58459
Adamts12	Q811B3
Adamts13	Q769J6
Adamts15	P59384
Adamts16	Q69Z28
Adamts18	Q4VC17
Adamts19	P59509
Adamts1	P97857
Adamts20	P59511
Adamts2	Q8C9W3
Adamts4	Q8BNJ2
Adamts5	Q9R001
Adamts7	Q68SA9
Adamts8	P57110
Tat	Q8QZR1
Atxn10	P28658
Atxn1l	P0C7T6
Atxn1	P54254
Atxn2l	Q7TQH0
Atxn2	O70305
Atxn3	Q9CVD2
Atxn7	Q8R4I1
Ecrg4	Q99LS0
Auh	Q9JLZ3
Aunip	E9Q6Z5
Aup1	P70295
Aurka	P97477
Aurkb	O70126
Aurkc	O88445
Auts2	A0A087WPF7
Dnajc6	Q80TZ3
Aven	Q9D9K3
Avil	O88398
Avl9	Q80U56
Avpi1	Q9D7H4
Acvr2a	P27038
Acvr2b	P27040
Awat1	A2ADU9
Awat2	Q6E1M8
Axdnd1	Q3UZ57
Axin1	O35625
Axin2	O88566
Azi2	Q9QYP6
Azin1	O35484
Azin2	Q8BVM4
Bcl2l1	Q64373
Bcl2l2	P70345
Bcl2l10	Q9Z0F3
Bcl2l11	O54918
Bcl2l13	P59017
Bcl2l14	Q9CPT0
Bcl2l15	Q08ED0
Bcl2a1	Q07440
B2m	P01887
Slc4a2	P13808
Slc4a3	P16283
Slc4a9	A0A494BA31
Slc4a1	P04919
B3gat1	Q9CW73
B3gat2	P59270
B3gat3	P58158
B3galnt1	Q920V1
B3galnt2	Q8BG28
B3glct	Q8BHT6
B3GNT2	Q9Z222
B3gnt3	Q5JCS9
B3gnt4	Q1RLK6
B3gnt5	Q8BGY6
B3gnt6	Q3USF0
B3gnt7	Q8K0J2
B3gnt8	Q8R3I9
B3gnt9	Q8VI16
B3gntl1	Q3U129
B3galt1	O54904
B3galt2	O54905
B3galt4	Q9Z0F0
B3galt5	Q9JI67
B3galt6	Q91Z92
B4gat1	Q8BWP8
B4galnt1	Q09200
B4galnt2	Q09199
B4galnt3	Q6L8S8
B4galnt4	Q766D5
B4galt1	P15535
B4galt2	Q9Z2Y2
B4galt3	Q91YY2
B4galt4	Q9JJ04
B4galt5	Q9JMK0
B4galt6	Q9WVK5
B4galt7	Q8R087
B9d1	Q9R1S0
B9d2	Q3UK10
Baalc	Q8VHV1
Baat	Q91X34
Babam1	Q3UI43
Babam2	Q8K3W0
Kctd13	Q8BGV7
Tnfaip1	O70479
Kctd10	Q922M3
Bace1	P56818
Bace2	Q9JL18
Bach1	P97302
Bach2	P97303
Acot7	Q91V12
Bad	Q61337
Banf2	Q8BVR0
Banf1	O54962
Bag1	Q60739
Bag2	Q91YN9
Bag3	Q9JLV1
Bag4	Q8CI61
Bag5	Q8CI32
Bag6	Q9Z1R2
Bahcc1	Q3UHR0
Bahd1	Q497V6
Baiap2	Q8BKX1
Baiap3	Q80TT2
Atg14	Q8CDJ3
Bak1	O08734
Bambi	Q9D0L6
Bank1	Q80VH0
Banp	Q8VBU8
Bap18	Q9DCT6
Bap1	Q99PU7
Bcap29	Q61334
Bcap31	Q61335
Bard1	O70445
Barhl1	P63157
Barhl2	Q8VIB5
Barx1	Q9ER42
Barx2	O08686
Bsg	P18572
Basp1	Q91XV3
Slc7a9	Q9QXA6
Batf2	Q8R1H8
Batf3	Q9D275
Batf	O35284
Bax	Q07813
Baz1a	O88379
Baz1b	Q9Z277
Baz2a	Q91YE5
Baz2b	A2AUY4
Bbc3	Q99ML1
Bbln	P58686
Bbof1	Q3V079
Bbs10	Q9DBI2
Bbs12	Q5SUD9
Bbs1	Q3V3N7
Bbs2	Q9CWF6
Bbs4	Q8C1Z7
Bbs5	Q9CZQ9
Bbs7	Q8K2G4
Bbx	Q8VBW5
Bcl11a	Q9QYE3
Bcl11b	Q99PV8
Bcam	Q9R069
Pik3ap1	Q9EQ32
Bcar1	Q61140
Bcar3	Q9QZK2
Bcas1	Q80YN3
Bcas3	Q8CCN5
Bcat1	P24288
Bcat2	O35855
Bccip	Q9CWI3
Znhit6	Q3UFB2
Bco1	Q9JJS6
Bco2	Q99NF1
Bckdk	O55028
Bcl10	Q9Z0H7
Bcl2	P10417
Bcl3	Q9Z2F6
Bcl6b	O88282
Bcl6	P41183
Bcl7a	Q9CXE2
Bcl7b	Q921K9
Bcl7c	O08664
Bcl9l	Q67FY2
Bcl9	Q9D219
Bclaf3	A2AG58
Bclaf1	Q8K019
Bcorl1	A2AQH4
Bcor	Q8CGN4
Bcr	Q6PAJ1
Bcs1l	Q9CZP5
Bod1l	E9Q6J5
Bdh1	Q80XN0
Bdnf	P21237
Bdp1	Q571C7
Bean1	Q9EQG5
Becn1	O88597
Becn2	P0DM65
Begain	Q68EF6
Bend3	Q6PAL0
Bend4	P86174
Bend5	Q8C6D4
Bend6	Q6PFX2
Bend7	Q8BSV3
Best1	O88870
Best2	Q8BGM5
Best3	Q6H1V1
Bet1l	O35153
Bet1	O35623
Bex1	Q9R224
Bex2	Q9WTZ8
Bex3	Q9WTZ9
Bex4	Q9CWT2
Bex6	Q3TZW7
Bfar	Q8R079
Bfsp1	A2AMT1
Bfsp2	Q6NVD9
Glb1	P23780
Abo	P38649
Tgfbi	P82198
Gusb	P12265
Bhlha9	Q5RJB0
Bhlha15	Q9QYC3
Bhlhe22	Q8C6A8
Bhlhe23	Q8BGW3
Bhlhe40	O35185
Bhlhe41	Q99PV5
Bhmt	O35490
Bhmt2	Q91WS4
Tmbim6	Q9D2C7
Baiap2l1	Q9DBJ3
Baiap2l2	Q80Y61
Bicc1	Q99MQ1
Bicd1	Q8BR07
Bicd2	Q921C5
Bicdl1	A0JNT9
Bicdl2	Q8CHW5
Bicra	F8VPZ9
Bicral	Q8CHH5
Bid	P70444
Blvra	Q9CY64
Arfgef1	G3X9K3
Arfgef2	A2A5R2
Arfgef3	Q3UGY8
Bik	O70337
Bin1	O08539
Bin2	D3Z6Q9
Bin3	Q9JI08
Hspa5	P20029
Naip1	Q9QWK5
Naip2	Q9QUK4
Naip5	Q9R016
Naip6	Q9JIB6
Naip7	Q9JIB3
Birc2	Q62210
Birc3	O08863
Birc5	O70201
Birc6	O88738
Birc7	A2AWP0
Bivm	Q8CBX9
Bdkrb1	Q61125
Bdkrb2	P32299
Bloc1s1	O55102
Bloc1s2	Q9CWG9
Bloc1s3	Q5U5M8
Bloc1s4	Q8VED2
Bloc1s5	Q8R015
Bloc1s6	Q9R0C0
Blcap	P62951
Blk	P16277
Blmh	Q8R016
Blm	O88700
Blnk	Q9QUN3
Bltp3b	A2RSJ4
Bltp1	A2AAE1
Bltp2	Q5SYL3
Blvrb	Q923D2
Bmal1	Q9WTL8
Bmal2	Q2VPD4
Bmf	Q91ZE9
Bmi1	P25916
Bmp10	Q9R229
Bmp15	Q9Z0L4
Bmp1	P98063
Bmp2k	Q91Z96
Bmp2	P21274
Bmp3	Q8BHE5
Bmp4	P21275
Bmp5	P49003
Bmp6	P20722
Bmp7	P23359
Bmp8a	P34821
Bmp8b	P55105
Bmper	Q8CJ69
Bmpr2	O35607
Bmpr1a	P36895
Bmpr1b	P36898
Bmx	P97504
Bcdin3d	Q91YP1
Bnc1	O35914
Bnc2	Q8BMQ3
Bnip3l	Q9Z2F7
Bnip2	O54940
Bnip3	O55003
Bnip5	Q8CC96
Bnipl	Q99JU7
Boc	Q6AZB0
Bod1	Q5SQY2
Bbox1	Q924Y0
Bok	O35425
Bola1	Q9D8S9
Bola2	Q8BGS2
Bola3	Q8CEI1
Boll	Q924M5
Bop1	P97452
Bora	Q8BS90
Borcs5	Q9D920
Borcs6	Q9D6W8
Borcs7	Q9CRC6
Borcs8	Q9D6Y4
Cdca8	Q8BHX3
Cdc42ep2	Q8JZX9
Cdc42ep3	Q9CQC5
Cdc42ep5	Q9Z0X0
Cdc42ep4	Q9JM96
Cdc42ep1	Q91W92
Bphl	Q8R164
Bpifa1	P97361
Bpifa2	P07743
Bpifa3	Q9D9J8
Bpifa5	Q9CQX3
Bpifb1	Q61114
Bpifb2	Q8C1E1
Bpifb3	Q80ZU7
Bpifb4	A2BGH0
Bpifb6	Q8BU51
Bpifc	Q8C186
Bpi	Q67E05
Hlcs	Q920N2
Bpnt1	Q9Z0S1
Braf	P28028
Brap	Q99MP8
Brat1	Q8C3R1
C6.1al	Q7M757
Brca1	P48754
Brca2	P97929
Brcc3	P46737
Brd1	G5E8P1
Brd2	Q7JJ13
Brd3	Q8K2F0
Brd4	Q9ESU6
Brd7	O88665
Brd8	Q8R3B7
Brd9	Q3UQU0
Brdt	Q91Y44
Rnf20	Q5DTM8
Rnf40	Q3U319
Brf2	Q3UAW9
Bri3bp	Q8BXV2
Bri3	P28662
Brk1	Q91VR8
Brms1l	Q3U1T3
Brme1	Q6DIA7
Brms1	Q99N20
Brinp1	Q920P3
Brinp2	Q6DFY8
Brinp3	Q499E0
Tbc1d32	Q3URV1
Brox	Q8K2Q7
Brpf1	B2RRD7
Brpf3	B2KF05
Brs3	O54798
Brsk1	Q5RJI5
Brsk2	Q69Z98
Brwd1	Q921C3
Brwd3	A2AHJ4
Brix1	Q9DCA5
Bscl2	Q9Z2E9
Bsdc1	Q80Y55
Bsx	Q810B3
Bsnd	Q8VIM4
Bsn	O88737
Bsph1	Q3UW26
Bsph2	Q0Q236
Bspry	Q80YW5
Prss22	Q9ER10
Bst1	Q64277
Bst2	Q8R2Q8
Btn1a1	Q62556
Btn2a2	A4QPC6
Btf3l4	Q9CQH7
Btbd1	P58544
Btbd3	P58545
Btbd6	Q8K2J9
Btbd7	Q8CFE5
Btbd8	D3YUB6
Btbd9	Q8C726
Btbd10	Q80X66
Btbd16	E9Q173
Btbd17	Q9DB72
Btbd18	A0A0A6YY25
Btc	Q05928
Btd	Q8CIF4
Btf3	Q64152
Btg1	P62325
Btg2	Q04211
Btg3	P50615
Btg4	O70552
Btk	P35991
Btla	Q7TSA3
Btnl1	Q7TST0
Btnl2	O70355
Btnl9	Q8BJE2
Btnl10	Q9JK39
Bub1b	Q9Z1S0
Bub1	O08901
Bub3	Q9WVA3
Bud13	Q8R149
Bud23	Q9CY21
Bud31	Q6PGH1
Upb1	Q8VC97
Cd160	O88875
Bysl	O54825
Ccdc102a	Q3TMW1
Grcc10	O35127
Cyp11b2	P15539
Cd163	Q2VLH6
Cd164l2	Q9D6W7
Cep170b	Q80U49
Cwf19l1	Q8CI33
Cwf19l2	Q8BG79
C1d	O35473
C1galt1c1	Q9JMG2
C1galt1	Q9JJ06
C1qa	P98086
C1qbp	O35658
C1qb	P14106
C1qc	Q02105
C1ql2	Q8CFR0
C1ql3	Q9ESN4
C1ql4	Q4ZJM9
Cd93	O89103
C1ql1	O88992
C1qtnf1	Q9QXP7
C1qtnf2	Q9D8U4
C1qtnf3	Q9ES30
C1qtnf4	Q8R066
C1qtnf5	Q8K479
C1qtnf6	Q6IR41
C1qtnf7	Q8BVD7
C1qtnf9	Q4ZJN1
C1ra	Q8CG16
C1rb	Q8CFG9
C1rl	Q3UZ09
Mthfd1	Q922D8
Mthfd1l	Q3V3R1
Cd209a	Q91ZX1
Cd209b	Q8CJ91
Cd209c	Q91ZW9
Cd209d	Q91ZW8
Cd209e	Q91ZW7
Cep295nl	Q497N6
Cdkn2aipnl	Q9D211
C2cd2l	Q80X80
C2cd4c	Q5HZI2
C2cd4d	P0CG09
C2cd2	E9Q3C1
C2cd3	Q52KB6
C2cd5	Q7TPS5
Cc2d1a	Q8K1A6
Cc2d1b	Q8BRN9
Cc2d2a	Q8CFW7
Ciita	P79621
C3ar1	O09047
Cdc42se1	Q8BHL7
Cdc42se2	Q8BGH7
C4bpa	P08607
Sdhc	Q9CZB0
Cyb561d1	A2AE42
Cyb561d2	Q9WUE3
C5ar1	P30993
C5ar2	Q8BW93
Casp8ap2	Q9WUF3
Cfap97d2	G3UW36
Cd99l2	Q8BIF0
Gm12695	A2AGB2
Cacna2d1	O08532
Cacna2d2	Q6PHS9
Cacna2d3	Q9Z1L5
Cacna2d4	Q5RJF7
Clca3a1	Q9QX15
Caap1	Q8VDY9
Cab39	Q06138
Sdf4	Q61112
Cables1	Q9ESJ1
Cables2	Q8K3M5
Cabp1	Q9JLK7
Cabp2	Q9JLK4
Cabp4	Q8VHC5
Cabp5	Q9JLK3
Cabp7	Q91ZM8
Caln1	Q9JJG7
Cabs1	Q8C633
Cabyr	Q9D424
Cacna1a	P97445
Cacna1b	O55017
Cacna1c	Q01815
Cacna1d	Q99246
Cacna1e	Q61290
Cacna1f	Q9JIS7
Cacna1h	O88427
Cacna1s	Q02789
Cacnb1	Q8R3Z5
Cacnb2	Q8CC27
Cacnb3	P54285
Cacnb4	Q8R0S4
Cacul1	Q8R0X2
Calcoco1	Q8CGU1
Calcoco2	A2A6M5
Crat	P47934
Cdh10	P70408
Cdh11	P55288
Cdh12	Q5RJH3
Cdh13	Q9WTR5
Cdh15	P33146
Cdh16	O88338
Cdh17	Q9R100
Cdh20	Q9Z0M3
Cdh22	Q9WTP5
Cdh23	Q99PF4
Cdh24	Q6PFX6
Cdh26	P59862
Cdh1	P09803
Cdh2	P15116
Cdh3	P10287
Cdh4	P39038
Cdh5	P55284
Cdh6	P97326
Cdh7	Q8BM92
Cdh8	P97291
Cdh9	P70407
Cadm1	Q8R5M8
Cadm2	Q8BLQ9
Cadm3	Q99N28
Cadm4	Q8R464
Iba57	Q8CAK1
Chaf1a	Q9QWF0
Chaf1b	Q9D0N7
Cage1	Q5IR70
Ca10	P61215
Ca11	O70354
Ca12	Q8CI85
Ca13	Q9D6N1
Ca14	Q9WVT6
Ca15	Q99N23
Ca1	P13634
Ca2	P00920
Ca3	P16015
Ca4	Q64444
Ca5a	P23589
Ca5b	Q9QZA0
Ca6	P18761
Ca7	Q9ERQ8
Ca8	P28651
Ca9	Q8VHB5
Cachd1	Q6PDJ1
Calhm1	D3Z291
Calhm2	Q8VEC4
Calhm3	J3QMI4
Calhm4	Q8CE93
Calhm5	Q8R100
Calhm6	Q8C9E8
Calb1	P12658
Calb2	Q08331
Calca	P70160
Calcb	Q99MP3
Calcr	Q60755
Ccin	Q8CDE2
Calml3	Q9D6P8
Calml4	Q91WQ9
Calm1	P0DP26
Calm2	P0DP27
Calm3	P0DP28
Calm4	Q9JM83
Calr3	Q9D9Q6
Calcrl	Q9R1W5
Calr	P14211
Calu	O35887
Canx	P35564
Caly	Q9DCA7
Camkv	Q3UHL1
Camlg	P49070
Camsap1	A2AHC3
Camsap2	Q8C1B1
Camsap3	Q80VC9
Camp	P51437
Capn10	Q9ESK3
Capn11	Q6J756
Capn12	Q9ER56
Capn13	Q3UW68
Capn15	Q9JLG8
Capn1	O35350
Capn2	O08529
Capn3	Q64691
Capn5	O08688
Capn6	O35646
Capn7	Q9R1S8
Capn8	Q91VA3
Capn9	Q9D805
Ppp3r1	Q63810
Ppp3r2	Q63811
Cand1	Q6ZQ38
Cand2	Q6ZQ73
Cant1	Q8VCF1
Cap1	P40124
Cap2	Q9CYT6
Pcif1	P59114
Capg	P24452
Nos1ap	Q9D3A8
Caprin1	Q60865
Caprin2	Q05A80
Cadps	Q80TJ1
Cadps2	Q8BYR5
Capsl	Q6P8Y1
Capzb	P47757
Card10	P58660
Card11	Q8CIS0
Card14	Q99KF0
Card19	Q9D1I2
Card9	A2AIV8
Cdkn2aip	Q8BI72
Carmil1	Q6EDY6
Carmil2	Q3V3V9
Carmil3	Q3UFQ8
Carm1	Q9WVG6
Carnmt1	Q80UY1
Carf	Q8VHI4
Cartpt	P56388
Csn1s1	P19228
Csn2	P10598
Casc3	Q8K3W3
Casd1	Q7TN73
Csn3	P06796
Nedd9	O35177
Casp1	P29452
Casp2	P29594
Casp3	P70677
Casp4	P70343
Casp6	O08738
Casp7	P97864
Casp8	O89110
Casp9	Q8C3Q9
Casp12	O08736
Casp14	O89094
Cux1	P53564
Casq1	O09165
Casq2	O09161
Casr	Q9QY96
Cass4	Q08EC4
Castor1	Q9CWQ8
Castor2	Q8CAB8
Casz1	Q9CWL2
Cts7	Q91ZF2
Cts8	Q9JI81
Cenatac	Q4VA36
Cat	P24270
Ctsb	P10605
Ctsc	P97821
Ctsd	P18242
Ctse	P70269
Ctsf	Q9R013
Ctsg	P28293
Ctsh	P49935
Cactin	Q9CS00
Catip	B9EKE5
Ctsj	Q9R014
Ctsk	P55097
Ctsl	P06797
Ctsm	Q9JL96
Ctso	Q8BM88
Ctsr	Q9JIA9
Ctss	O70370
Ctsw	P56203
Ctsz	Q9WUU7
Cav1	P49817
Cav2	Q9WVC3
Cav3	P51637
Cavin1	O54724
Cavin2	Q63918
Cavin3	Q91VJ2
Cavin4	A2AMM0
Caps2	Q8BUG5
Capza1	P47753
Capza2	P47754
Capza3	P70190
Gm5592	Q3V0A6
Cab39l	Q9DB16
Cyb5d1	Q5NCY3
Cibar1	Q8BP22
Cibar2	Q3V2J0
Cbarp	Q66L44
Cabcoco1	Q8CDT7
Serpina6	Q06770
Cblb	Q3TTA7
Cblc	Q80XL1
Cbln1	Q9R171
Cbln2	Q8BGU2
Cbln3	Q9JHG0
Cbln4	Q8BME9
Cbl	P22682
Cpa1	Q7TPZ8
Cpa2	Q504N0
Cpa3	P15089
Cpa4	Q6P8K8
Cpa5	Q8R4H4
Cpa6	Q5U901
Cpb2	Q9JHH6
Agtpbp1	Q641K1
Agbl2	Q8CDK2
Agbl3	Q8CDP0
Agbl1	Q09M05
Agbl5	Q09M02
Agbl4	Q09LZ8
Cpd	O89001
Cpe	Q00493
Cpm	Q80V42
Cpn1	Q9JJN5
Cpq	Q9WVJ3
Cpz	Q8R4V4
Crebbp	P45481
Cbr1	P48758
Cbr2	P08074
Cbr3	Q8K354
Cbr4	Q91VT4
Cbs	Q91WT9
Cbx1	P83917
Cbx2	P30658
Cbx3	P23198
Cbx4	O55187
Cbx5	Q61686
Cbx6	Q9DBY5
Cbx7	Q8VDS3
Cbx8	Q9QXV1
Cby1	Q9D1C2
Cby2	Q32MG2
Cby3	Q9CVN6
Ccdc103	Q9D9P2
Ccdc106	Q3ULM0
Ccdc107	Q9DCC3
Ccdc110	Q3V125
Ccdc112	A0AUP1
Ccdc113	Q8C5T8
Ccdc115	Q8VE99
Ccdc116	Q80X53
Ccdc117	Q6PB51
Ccdc120	A2AEV7
Ccdc122	Q8BVN0
Ccdc124	Q9D8X2
Ccdc125	Q5U465
Ccdc126	Q8BIS8
Ccdc127	Q3TC33
Ccdc134	Q8C7V8
Ccdc136	Q3TVA9
Ccdc137	Q8R0K4
Ccdc138	Q0VF22
Ccdc142	Q8CAI1
Ccdc148	Q6P5U8
Cdc14a	Q6GQT0
Cdc14b	Q6PFY9
Ccdc150	Q8CDI7
Ccdc153	P0C7Q1
Ccdc154	Q6RUT8
Ccdc157	Q5SPX1
Ccdc159	Q8C963
Ccdc160	Q3UYG1
Ccdc162	Q0VG85
Ccdc167	Q9D162
Ccdc169	Q8BXX9
Ccdc171	E9Q1U1
Ccdc172	Q810N9
Ccdc174	Q3U155
Ccdc175	E9PVB3
Ccdc177	Q3UHB8
Ccdc178	Q8CDV0
Ccdc179	J3QM76
Ccdc181	Q80ZU5
Ccdc182	Q9D9C6
Ccdc183	A2AJB1
Ccdc184	Q8BMK5
Ccdc186	Q8C9S4
Ccdc187	Q8C5V8
Ccdc190	Q3URK1
Ccdc194	A0A140LIT1
Ccdc198	Q9CPZ1
Ccr1l1	P51676
Ccl21a	P84444
Ccl21b	P86792
Ccl21c	P86793
Ccdc28b	Q8CEG5
Tmem30a	Q8VEK0
Tmem30b	Q8BHG3
Tmem30c	Q9D4D7
Ccdc85a	Q5SP85
Ccdc85b	Q6PDY0
Ccdc85c	E9Q6B2
Ccdc88b	Q4QRL3
Ccdc90b	Q8C3X2
Ccar1	Q8CH18
Ccar2	Q8VDP4
Ccbe1	Q3MI99
Ccdc12	Q8R344
Ccdc13	D3YV10
Ccdc14	Q8K2J4
Ccdc15	Q8C9M2
Ccdc17	Q8CE13
Ccdc18	Q640L5
Ccdc22	Q9JIG7
Ccdc25	Q78PG9
Ccdc27	Q3V036
Ccdc30	Q8BVF4
Ccdc32	Q8BS39
Ccdc33	Q3ULW6
Ccdc34	Q3UI66
Ccdc38	Q8CDN8
Ccdc39	Q9D5Y1
Ccdc40	Q8BI79
Ccdc42	Q5SV66
Ccdc43	Q9CR29
Ccdc47	Q9D024
Ccdc50	Q810U5
Ccdc54	Q9DAL3
Ccdc57	Q6PHN1
Ccdc60	Q8C4J0
Ccdc61	Q3UJV1
Ccdc62	E9PVD1
Ccdc63	Q8CDV6
Ccdc66	Q6NS45
Ccdc68	Q8BVC4
Ccdc69	Q3TCJ8
Ccdc70	Q9D9B0
Ccdc71	Q8VEG0
Ccdc73	Q8CDM4
Ccdc77	Q9CZH8
Ccdc78	D3Z5T1
Ccdc80	Q8R2G6
Ccdc81	Q9D5W4
Ccdc82	Q6PG04
Ccdc83	Q9D4V3
Ccdc86	Q9JJ89
Ccdc87	Q8CDL9
Ccdc89	Q9DA73
Ccdc91	Q9D8L5
Ccdc92	Q8VDN4
Ccdc93	Q7TQK5
Ccdc96	Q9CR92
Ccdc97	Q9DBT3
Ccdc9b	A3KGF9
Ccndbp1	Q3TVC7
Ccdc3	Q9D6Y1
Ccdc6	D3YZP9
Ccdc7	Q9D541
Ccdc8	D3YZV8
Ccdc9	Q8VC31
Ccer1	Q9CQL2
Cacng1	O70578
Cacng2	O88602
Cacng3	Q9JJV5
Cacng4	Q9JJV4
Cacng5	Q8VHW4
Cacng6	Q8VHW3
Cacng7	P62956
Cacng8	Q8VHW2
Tmem37	Q9JJV3
Cchcr1	Q8K2I2
Hccs	P53702
Cckar	O08786
Cck	P09240
Ccl11	P48298
Ccl12	Q62401
Ccl17	Q9WUZ6
Ccl19	O70460
Ccl1	P10146
Ccl20	O89093
Ccl22	O88430
Ccl24	Q9JKC0
Ccl25	O35903
Ccl27	Q9Z1X0
Ccl28	Q9JIL2
Ccl2	P10148
Ccl3	P10855
Ccl4	P14097
Ccl5	P30882
Ccl6	P27784
Ccl7	Q03366
Ccl8	Q9Z121
Ccl9	P51670
Ccm2l	Q8VCC6
Ccm2	Q8K2Y9
Ccn1	P18406
Ccn2	P29268
Ccn3	Q64299
Ccn4	O54775
Ccn5	Q9Z0G4
Ccn6	D3Z5L9
Ccna1	Q61456
Ccna2	P51943
Ccnb1	P24860
Ccnb2	P30276
Ccnb3	Q810T2
Ccnc	Q62447
Ccnd1	P25322
Ccnd2	P30280
Ccnd3	P30282
Ccne1	Q61457
Ccne2	Q9Z238
Ccnf	P51944
Ccng1	P51945
Ccng2	O08918
Ccnh	Q61458
Ccni	Q9Z2V9
Ccnjl	Q5SRT8
Ccnj	Q3TZI6
Ccnk	O88874
Ccnl1	Q52KE7
Ccnl2	Q9JJA7
Ccno	P0C242
Ccnq	Q8QZR8
Ccnt1	Q9QWV9
Ccnt2	Q7TQK0
Ccny	Q8BGU5
Ccpg1	Q640L3
Ccr10	Q9JL21
Ccr1	P51675
Ccr2	P51683
Ccr3	P51678
Ccr4	P51680
Ccr5	P51682
Ccr6	O54689
Ccr7	P47774
Ccr8	P56484
Ccr9	Q9WUT7
Ccrl2	O35457
Ccsap	Q8QZT2
Ccser1	Q8C0C4
Ccser2	Q3UHI0
Ccs	Q9WU84
Ccz1	Q8C1Y8
D3Ertd751e	Q8BGN2
Gm1673	Q3UR78
Cd109	Q8R422
Cdk11b	P24788
Cdc123	Q8CII2
Cd14	P10810
Cd151	O35566
Ccdc158	Q8CDI6
Alcam	Q61490
Cd177	Q8R2S8
Cd180	Q62192
Cd19	P25918
Cd1d1	P11609
Cd1d2	P11610
Cdc20b	D3Z3I0
Ms4a1	P19437
Cd226	Q8K4F0
Cd22	P35329
Cd244	Q07763
Cd248	Q91V98
Cd24	P24807
Cd276	Q8VE98
Cd27	P41272
Cd28	P31041
Cd2ap	Q9JLQ0
Cd2bp2	Q9CWK3
Cd2	P08920
Cd302	Q9DCG2
Cd320	Q9Z1P5
Cd33	Q63994
Cd34	Q64314
Cd36	Q08857
Cdc37l1	Q9CZP7
Cd37	Q61470
Cd38	P56528
Cd3d	P04235
Cd3e	P22646
Cd3g	P11942
Cd247	P24161
Cd40lg	P27548
Cd44	P15379
Cd47	Q61735
Cd48	P18181
Cd4	P06332
Cd52	Q64389
Cd53	Q61451
Cd59a	O55186
Cd59b	P58019
Cd5l	Q9QWK4
Cdk5r1	P61809
Cdk5r2	O35926
Cd5	P13379
Cd63	P41731
Cd68	P31996
Cd69	P37217
Cd6	Q61003
Cd70	O55237
Cd72	P21855
Cd79a	P11911
Cd79b	P15530
Cd7	P50283
Cd80	Q00609
Cd81	P35762
Cd82	P40237
Cd83	O88324
Cd86	P42082
Cd8a	P01731
Cd8b	P10300
Cd99	Q8VCN6
Cd9	P40240
Cdca7l	Q922M5
Cdadc1	Q8BMD5
Cdan1	Q8CC12
Cdc16	Q8R349
Cdc20	Q9JJ66
Cdc23	Q8BGZ4
Cdc26	Q99JP4
Cdc27	A2A6Q5
