GeneID	Bulk RNA-seq IU_Finnerty_Estrus_n1	Bulk RNA-seq IU_Finnerty_Estrus_n2	Bulk RNA-seq IU_Finnerty_Estrus_n3	Bulk RNA-seq IA_Finnerty_Estrus_n1	Bulk RNA-seq IA_Finnerty_Estrus_n2	Bulk RNA-seq IA_Finnerty_Estrus_n3
Pcx	11155	9302	21862	1122	1271	1527
Lrfn4	1249	1440	2941	1778	1435	2109
Rce1	1014	1133	2606	1010	1078	1314
Gm960	28	41	83	19	21	43
Sptbn2	3044	2612	3873	2512	3038	3514
NA	0	0	1	0	2	0
Rbm4b	670	792	1281	559	657	761
Rbm4	821	658	1186	590	847	689
Rbm14	1924	1368	2408	1767	2407	1798
Ccs	963	923	1614	1172	1426	1696
Ccdc87	78	136	157	927	1021	1387
Ctsf	914	2518	2746	1169	779	2496
Actn3	58	143	142	75	30	32
Zdhhc24	959	952	1408	976	1081	1127
Bbs1	770	1035	1664	3469	3983	4878
Dpp3	3660	3685	5231	3776	4085	3882
Peli3	632	1638	2290	706	459	1298
Mrpl11	1141	988	1649	1060	1234	1315
Npas4	172	242	372	161	113	36
Slc29a2	104	127	306	130	97	178
B4gat1	1041	1319	1609	1123	1122	1475
Brms1	919	1186	1625	1181	1187	1591
Rin1	670	575	1040	824	800	810
Cd248	2351	2732	2878	918	512	172
Tmem151a	424	657	886	204	121	196
Yif1a	1309	1248	1729	1612	1529	1892
Cnih2	52	40	110	110	79	158
Rab1b	6148	5563	8042	6552	7219	6611
Klc2	1611	1267	2369	2296	2625	2302
Pacs1	2365	3245	4511	2338	2151	2934
Sf3b2	9356	10575	15281	12445	14765	19008
NA	8	11	14	2	22	15
Gal3st3	21	52	37	18	13	20
Catsper1	0	0	0	0	0	0
Cst6	10	22	28	4	10	16
Banf1	1999	1749	3026	1916	1988	1875
Eif1ad	1109	1107	1728	733	984	1066
Sart1	2567	2888	4118	2413	2940	3728
D330050I16Rik	39	64	95	41	33	68
Tsga10ip	3	4	4	6	5	1
4930481A15Rik	106	283	523	173	239	782
NA	0	1	0	0	0	0
Drap1	3892	3477	6004	3483	3888	3626
AI837181	1533	1900	2657	1362	1224	1731
Fosl1	0	3	7	0	0	0
Ccdc85b	1636	2888	4461	1337	1212	1338
Fibp	1284	1306	1839	1456	1449	1816
Ctsw	30	22	38	15	14	11
Efemp2	2110	2775	4089	1085	990	905
Mus81	903	902	1483	652	724	752
Cfl1	21859	17491	28117	16299	19627	13177
Snx32	505	634	947	293	327	381
Nscme3l	31	37	61	11	27	18
Ovol1	134	157	266	16	17	44
Ap5b1	531	606	875	556	644	627
Rnaseh2c	800	722	1002	770	786	816
Kat5	1524	1921	2741	1784	1843	2381
Rela	2840	3747	5285	2664	2903	3902
Sipa1	1022	1171	1696	756	838	540
Pcnx3	5370	5561	8169	5137	6355	5253
Map3k11	2635	2843	4062	2786	2959	3612
Kcnk7	18	38	51	181	112	240
Ehbp1l1	4044	4613	7735	3193	3418	3340
Fam89b	1417	2067	2897	1480	1482	1812
Znrd2	475	473	800	833	885	1011
Gm10815	7	25	34	12	33	20
Ltbp3	7608	10440	14813	11998	11409	15853
Scyl1	3286	3806	5492	3924	3699	4664
Malat1	21953	23619	50697	19574	51441	34724
Gm19474	0	0	2	0	0	0
Neat1	6650	10434	12018	9818	10633	16129
Frmd8os	0	1	3	6	6	3
Frmd8	944	1294	1243	795	920	1114
Slc25a45	651	939	1075	401	396	460
Tigd3	16	21	34	36	39	30
Dpf2	2257	2586	3773	2059	2348	2945
Cdc42ep2	396	519	704	148	128	134
Pola2	412	521	771	324	337	424
Slc22a20	1	0	0	0	0	0
Capn1	3931	4520	8031	2533	2233	3162
Gm10814	26	28	98	14	6	11
Gm19505	0	0	0	0	0	0
Syvn1	4093	4708	6445	3804	4098	3187
Mrpl49	1213	1049	1740	999	1150	1181
Fau	11106	13345	19667	8434	9055	12611
Znhit2	1124	1249	1819	1978	2164	2635
Tm7sf2	721	402	752	326	391	252
Vps51	1906	2257	2797	2027	2358	2470
Tmem262	8	3	7	4	1	1
Zfpl1	1203	1509	1870	1121	1210	1262
Cdca5	52	32	37	30	50	39
Naaladl1	18	6	9	0	6	8
Sac3d1	408	445	703	563	564	678
Snx15	587	662	778	466	502	488
Arl2	1089	1155	1765	1124	1098	1229
Batf2	50	86	81	43	26	30
Majin	5	12	37	106	138	481
Gpha2	27	34	126	264	224	439
Ppp2r5b	1908	2119	3257	3179	2977	3403
NA	0	0	1	1	0	0
Atg2a	2366	2908	3730	2158	2550	2587
Mir194-2	0	0	0	4	0	0
Mir192	0	1	0	0	0	0
Ehd1	2684	3095	4788	2595	2751	2264
NA	0	2	3	0	2	0
Cdc42bpg	3112	3552	4693	6481	7694	9440
Men1	1766	2138	2934	1572	1774	1973
Map4k2	906	1329	2210	737	768	916
NA	45	60	105	60	63	103
Sf1	9357	10395	15839	8873	11362	12111
Pygm	962	1337	2276	471	469	211
Rasgrp2	343	511	848	201	136	93
Nrxn2	430	755	953	284	228	424
Gm14964	90	291	365	163	105	222
Slc22a12	2	1	12	23	32	57
Rps6ka4	1114	1020	1838	871	930	848
NA	0	0	0	0	0	0
Mir5046	0	0	0	0	0	0
Ccdc88b	263	345	399	96	100	87
Prdx5	4252	5149	6258	4394	3931	8025
Trmt112	1172	1192	2077	1499	1709	2290
Esrra	2179	1662	2126	1031	1192	1275
Catsperz	88	64	89	19	20	29
Kcnk4	252	136	85	31	29	42
Gpr137	3357	2679	4210	4045	4474	5202
Bad	2191	1913	2474	2014	1953	2404
Plcb3	4396	4987	6918	5046	5449	6542
Ppp1r14b	2747	1792	2960	1687	1598	924
Fkbp2	2156	2510	2845	3087	2962	2620
Vegfb	1132	2332	2926	1753	1218	2193
Dnajc4	884	968	1410	864	842	1124
Nudt22	566	622	1001	310	308	331
Trpt1	200	323	431	254	261	403
Fermt3	286	402	518	193	162	194
Stip1	4282	3058	5668	8010	9401	8222
Macrod1	335	495	751	1380	1206	2476
5730409K12Rik	389	302	588	547	740	660
Flrt1	869	750	1277	912	1947	879
Otub1	3448	3126	5446	3668	4262	4545
Cox8a	9324	8297	13000	6935	8003	7102
NA	9	16	18	7	7	8
Naa40	1416	1423	2296	1976	2208	2798
Rcor2	233	215	399	213	205	215
Mark2	8363	7760	11385	7518	8183	8753
NA	2	4	6	3	9	13
Spindoc	1540	1178	1777	1106	1871	1137
1700105P06Rik	12	21	18	23	33	19
Zfta	2949	3907	5021	2429	3282	2375
Rtn3	9839	11212	14120	14312	18534	15599
Atl3	5718	5346	8383	3928	5362	4699
Plaat3	687	1049	1276	2658	2899	4697
Lgals12	87	35	33	37	42	19
Plaat5	0	0	2	0	7	2
Slc22a19	0	0	0	0	0	0
Slc22a26	0	0	0	1	0	0
Slc22a27	0	0	0	0	0	3
Slc22a28	1	0	4	0	2	0
Slc22a29	2	34	8	2	8	22
Slc22a30	4	2	0	1	0	0
Slc22a8	0	0	4	0	0	1
Slc22a6	0	0	0	0	0	0
9830166K06Rik	7	10	43	44	48	73
Chrm1	64	155	155	129	116	125
Slc3a2	4775	5773	7962	4793	5403	5254
Snhg1	769	1072	1200	418	570	905
Snord22	43	25	69	11	27	22
Wdr74	680	592	1130	541	663	616
Tex54	6	14	9	9	16	14
Stx5a	3059	4187	4759	3020	3224	3271
Nxf1	3423	3151	5800	2491	2975	2732
Tmem223	1394	1311	2068	1211	1320	1215
Tmem179b	820	948	1227	1012	1012	1009
Taf6l	240	246	345	156	196	158
Gm2518	6	16	9	7	2	16
Polr2g	1197	1188	1881	1285	1298	1605
Zbtb3	114	101	214	139	148	110
Ttc9c	1906	1986	2709	1584	1978	2075
Hnrnpul2	10088	9998	15078	7695	9985	9858
Gng3	7	2	11	5	6	2
Bscl2	1928	1714	2274	1533	1834	1841
Lrrn4cl	435	1097	889	257	304	248
Ubxn1	3241	3999	4962	3108	3599	4410
Uqcc3	844	983	1256	823	914	1187
5730408K05Rik	28	16	35	15	19	23
Mir5136	0	1	0	0	0	0
1810009A15Rik	1029	995	1308	1416	1526	1514
Ints5	1184	1327	1933	1250	1517	1395
Ganab	8981	8413	11405	10006	11709	8646
NA	0	0	1	0	0	0
B3gat3	2405	2470	3573	2268	2579	2562
Rom1	145	215	298	136	166	121
Eml3	1668	2163	3110	1201	1228	1380
NA	84	66	105	39	40	47
Mta2	5142	5730	8812	3484	4028	3733
Tut1	1013	999	1628	785	1014	1082
Eef1g	20843	19373	23706	14911	19126	12604
Ahnak	12406	14345	25455	9668	16735	13824
Scgb1a1	0	0	0	0	1	0
Asrgl1	957	759	1353	1168	3279	1163
Gm6252	444	378	596	226	274	293
Gm6445	8	8	8	2	5	5
Incenp	454	399	529	356	377	423
Fth1	37852	47130	68250	43892	36584	69662
Best1	74	106	137	134	117	294
Rab3il1	612	799	881	363	306	226
Fads3	948	1738	2738	4469	3287	4503
Fads2	1961	4834	9717	5147	3052	5277
Fads1	3482	7048	10332	11005	8819	15270
Fen1	529	606	666	589	697	669
Tmem258	1645	1772	2111	1832	1940	1874
Myrf	1872	2284	3694	1092	722	799
Dagla	1058	1165	1694	1441	1640	1433
Syt7	206	234	597	1110	771	651
Lrrc10b	809	661	1429	7525	7612	12702
Ppp1r32	517	447	1232	7235	7811	12343
Sdhaf2	1561	1559	2462	1474	1689	1904
Cpsf7	3821	3764	6518	3413	4093	4002
Tmem216	471	384	638	1013	1142	1416
Tmem138	342	377	577	838	950	1242
Cyb561a3	842	988	1364	944	823	1258
Tkfc	691	638	987	804	923	1118
Ddb1	14143	16066	21629	15711	18773	19587
Vwce	0	10	8	8	3	2
4930524O05Rik	0	0	0	0	0	0
Pga5	16	26	95	4	0	0
Vps37c	1998	2391	2911	1496	1602	1488
Cd5	18	40	25	3	3	1
A430093F15Rik	2	6	4	6	2	5
Cd6	8	7	7	0	2	6
Slc15a3	79	104	128	62	72	46
Tmem132a	3489	3331	5253	1759	1781	1193
Tmem109	5478	4460	7491	3407	4223	4088
Prpf19	7483	5820	9141	5270	6467	6498
Zp1	5	4	1	0	4	1
Ptgdr2	114	26	44	14	108	13
Ccdc86	638	446	907	522	651	569
Ms4a10	17	2	6	0	0	0
Ms4a15	104	72	99	12	75	4
Ms4a18	254	55	106	35	190	6
AW112010	173	354	364	112	87	161
Ms4a8a	51	57	183	6	10	0
Ms4a20	0	0	0	0	0	0
Ms4a19	0	0	0	0	0	0
Ms4a13	0	0	0	2	0	0
4930526L06Rik	2	2	0	0	0	0
Ms4a1	6	2	2	0	4	0
Ms4a5	0	0	0	0	0	0
Ms4a14	49	48	111	26	20	26
Ms4a7	185	307	402	109	73	136
Ms4a4a	29	47	35	13	22	6
Ms4a4c	152	134	121	17	31	23
Ms4a4b	52	47	40	13	4	12
Ms4a6c	429	525	455	127	120	92
BE692007	2	8	6	0	0	0
Gm8369	6	1	10	0	1	2
Gm19261	2	0	0	0	0	0
Ms4a6b	230	273	181	74	75	33
Ms4a4d	325	1157	851	165	93	142
Ms4a6d	114	95	79	48	31	12
Ms4a2	0	2	5	0	0	0
Ms4a3	0	0	0	0	0	0
Oosp2	0	0	0	0	0	0
Oosp1	0	0	0	0	0	0
Oosp3	0	2	0	0	0	0
Cblif	1	2	2	3	1	8
Mrpl16	778	610	1099	565	827	631
Stx3	1559	1543	2761	1266	1642	1515
Or10v5	4	3	16	1	1	2
Or10v9	0	0	0	1	0	0
Or10q3	0	0	0	0	0	0
Or10v1	6	10	16	6	6	16
Patl1	1298	1461	2538	1822	2310	2253
Osbp	3997	4788	6257	3959	4505	4561
Or4d11	0	0	0	0	0	0
Or4d10b	0	0	0	0	0	0
Or4d10	0	0	0	0	0	0
Or4d10c	0	0	0	0	0	0
Or4z4	0	0	0	0	0	0
Or4d6	0	0	0	0	0	0
Or5a1	0	0	0	0	0	0
Or5an9	0	0	0	0	0	0
Or5an1c	0	0	0	0	0	0
Or5an11	0	0	0	0	0	0
Or5an1	0	0	0	0	0	0
Or5an10	0	0	0	0	0	0
Or5an1b	0	0	0	0	0	0
Or5an6	0	0	0	0	0	0
Or5a3	0	0	0	0	0	0
Pfpl	0	0	0	0	0	0
Mpeg1	1759	2947	3516	717	837	986
Dtx4	3050	3883	6356	3757	3699	4061
Fam111a	390	283	271	157	273	84
A330040F15Rik	30	82	197	44	50	181
Gm4952	0	2	0	0	0	2
Glyat	0	0	0	0	0	0
Or5b94	0	2	0	0	0	0
Or5b95	0	2	0	0	0	0
Keg1	0	0	1	0	0	0
Gm44505	0	0	0	0	0	0
Cntf	4	3	7	7	6	6
Zfp91	4012	3927	6476	3583	4548	4920
Lpxn	138	115	190	64	66	106
Or5b21	0	0	0	0	0	0
Or5b12b	2	0	0	0	0	0
Or5b96	0	0	0	0	0	0
Or5b97	0	0	0	0	0	0
Gm5512	16	14	23	6	14	27
Or5b12	0	0	0	0	0	0
Or5b24	0	0	0	0	0	0
Or5b98	0	0	0	0	0	0
Or5b99	0	0	0	0	0	0
Or5b101	0	0	0	0	0	0
Or5b102	0	0	0	0	0	0
Or5b104	0	0	0	0	0	0
Or5b105	0	0	0	0	0	0
Or5b106	0	0	0	0	0	0
Or5b107	0	0	0	0	0	0
Or5b108	0	0	0	0	0	0
Or5b109	0	0	0	0	0	0
Or5b111	0	0	0	0	0	0
Or5b112	0	0	0	0	0	0
Or5b113	0	0	0	0	0	0
Or5b3	0	0	0	0	0	0
Or5b116	0	0	0	0	0	0
Or5b117	0	0	0	0	0	0
Or5b118	0	0	0	0	0	0
Or5b119	0	0	0	0	0	0
Or5b120	0	0	0	0	0	0
Or5b121	0	0	0	0	0	0
Or5b122	0	0	0	0	0	0
Or5b123	0	0	0	0	0	0
Or5b124	0	0	0	0	0	0
Or10w1	0	0	0	0	0	0
Or10q1b	0	0	0	0	0	0
Or10q1	0	0	0	0	0	0
Or10q12	0	0	0	0	0	0
Or1s2	0	0	0	0	0	0
Or9q2	0	0	0	0	0	0
Or9i14	0	0	0	0	0	0
Or9q1	0	0	0	0	0	0
Or9i2	0	0	0	0	0	0
Or9i1	0	0	0	0	0	0
Or9i16	0	0	0	0	0	0
Or9i1b	0	0	0	0	0	0
Tle4	517	596	912	739	1280	1013
Psat1	1356	1203	4634	2957	2137	2710
Cep78	399	323	628	895	899	1245
C130060C02Rik	11	18	21	47	48	112
Gnaq	6498	7922	13663	4672	4992	4483
E030024N20Rik	112	76	85	98	111	81
Gna14	1335	1348	1872	1891	2488	2043
Vps13a	1421	1418	2265	1510	2305	2219
Foxb2	0	0	2	0	0	0
Prune2	1447	2059	3402	866	672	487
Gcnt1	6343	10007	23786	2066	1842	1148
NA	1	2	7	0	2	3
Rfk	2267	2819	4455	4739	4439	6790
Pcsk5	1035	747	1593	1369	1564	1195
Ostf1	2193	2272	2732	1429	1546	1774
Nmrk1	164	260	360	219	196	400
Carnmt1	454	509	743	526	504	698
D030056L22Rik	807	866	1504	1103	1170	1634
Trpm6	607	1061	2404	1848	979	2572
Rorb	38	53	47	14	33	8
Anxa1	7163	6739	12480	14060	12775	19537
1500015L24Rik	4	2	10	7	12	5
E030003E18Rik	90	80	101	33	40	12
C730002L08Rik	2	5	2	0	2	2
Aldh1a1	960	932	1929	2783	2921	4296
Aldh1a7	40	34	255	67	75	103
Tmc1	4	10	1	2	6	9
Zfand5	7371	8836	10878	5772	6670	5846
Gda	657	1074	1654	451	270	108
1110059E24Rik	894	862	1333	831	894	1271
Abhd17b	991	1137	1727	1278	1192	1392
Cemip2	1813	2318	2985	3333	4820	3513
Trpm3	849	2106	3213	1427	705	866
NA	0	2	0	0	1	0
Mir204	0	0	0	0	0	0
Klf9	1706	3134	5888	2130	2355	3507
Mir1192	0	0	0	0	1	0
Smc5	1272	1624	2443	1392	1764	1911
Mamdc2	1780	3567	2680	447	893	468
Cfap95	201	188	320	1263	1486	2215
Ptar1	314	417	672	388	528	319
Gm9938	547	628	1156	654	917	750
Apba1	1376	3530	3202	405	641	300
Entrep1	3209	2086	4508	1732	3327	3197
1700021P04Rik	2	0	0	0	0	0
Tjp2	6733	7841	14798	6888	7469	9759
Fxn	215	232	327	283	229	287
Pip5k1b	2719	1505	2961	1664	2649	1938
Pabir1	696	701	1146	1533	1962	1937
Tmem252	193	357	602	148	123	59
Pgm5	6891	13735	32038	5761	3903	1830
Foxd4	0	0	0	0	1	0
Cbwd1	512	429	610	487	652	591
Dock8	4708	3958	5119	2150	2868	2815
Ndufb4b	35	35	67	32	44	28
Kank1	6507	5341	7643	4399	6238	6094
Dmrt1	0	0	0	0	0	0
Dmrt3	0	2	0	0	0	0
2610016A17Rik	0	0	0	0	0	0
Dmrt2	0	0	0	10	2	11
Smarca2	7050	9878	21658	5194	5840	7820
4931403E22Rik	21	16	69	18	36	38
Gm815	1	1	2	5	5	4
Vldlr	5333	4990	7584	2409	4415	3300
Gm3916	0	4	16	16	16	37
Kcnv2	14	29	38	30	50	43
Pum3	1574	1554	2509	1512	2245	1809
C030016D13Rik	20	24	38	18	27	28
Rfx3	1017	1054	1948	4377	6219	7193
Glis3	4967	4201	4951	2993	6353	3122
D930032P07Rik	1	1	10	5	7	30
Rps15a-ps2	3	1	2	1	2	5
Slc1a1	4115	5849	8821	3692	1973	3890
Spata6l	196	169	441	1309	1525	2605
Plpp6	1171	1280	1528	1262	1066	1111
Cdc37l1	1405	1337	2388	1347	1640	1403
Ak3	6517	8511	12174	4715	4774	6954
1700018L02Rik	108	254	338	174	161	427
Gm9895	92	158	181	101	73	100
Rcl1	841	964	1636	1068	1141	1281
Mir101b	0	0	0	0	0	0
Gm9883	2	0	8	0	1	3
Jak2	5612	6673	10500	6504	7731	8885
Insl6	92	84	197	73	59	118
Rln1	0	4	16	2	2	0
Plgrkt	661	807	1110	439	469	758
Cd274	160	272	436	679	756	899
Pdcd1lg2	4	6	8	4	6	0
A930007I19Rik	51	62	124	24	56	65
Ric1	1768	1761	4082	1061	1513	1415
Ermp1	3046	3828	4763	4280	3891	6417
Mlana	2	47	73	0	0	2
9930021J03Rik	2105	2504	3965	1705	2184	1786
Ranbp6	1030	922	1676	542	796	878
Il33	314	285	482	799	677	975
Trpd52l3	0	0	2	4	7	13
Uhrf2	2159	2302	3661	1404	1786	1820
Gldc	12	8	156	6	4	6
Rpl31-ps20	0	0	1	0	0	1
Mbl2	0	0	2	0	0	0
NA	0	0	0	0	0	0
Ppp1r2-ps3	1	2	3	5	0	0
Dkk1	0	4	0	0	0	0
Prkg1	1939	3972	4731	856	1517	1423
Gm6642	2	0	0	0	0	0
Cstf2t	1990	1946	3037	1985	2303	2841
8430431K14Rik	2	2	6	8	2	0
A1cf	4	0	0	1	0	0
Asah2	2006	2966	3155	1976	2392	2155
Sgms1	2950	3497	6021	3354	2993	5820
Sgms1os1	296	348	481	319	373	468
Minpp1	1313	1272	1815	1552	1826	2289
Papss2	593	1153	446	88	166	86
Atad1	2678	3044	4326	3297	3801	4326
Pten	5546	5935	7856	5243	7486	6930
Rnls	149	142	270	282	263	373
Mir3970	0	0	2	0	0	0
Lipo4	0	0	1	0	2	1
Lipo3	902	807	1103	884	947	934
Gm8978	0	0	0	0	0	0
NA	2	2	8	3	12	0
NA	0	0	0	0	2	2
Lipo1	0	0	0	0	0	0
Lipf	95	67	45	466	228	829
Lipk	26	20	12	2	0	0
Lipn	0	1	0	0	0	0
Lipm	2	12	0	10	4	2
Ankrd22	116	139	33	72	46	64
Stambpl1	276	222	251	57	107	110
Acta2	90448	101800	198599	41210	38031	11773
Fas	150	250	292	113	168	257
Ch25h	48	40	103	43	35	20
Lipa	1160	2095	1997	714	560	534
Ifit2	449	1070	784	160	136	157
Ifit3	352	863	525	122	56	94
Ifit1bl1	47	90	62	16	10	15
Ifit3b	115	331	190	51	17	41
Ifit1bl2	18	29	28	14	3	4
Ifit1	538	944	751	137	60	85
Slc16a12	715	718	1387	111	153	176
Pank1	464	371	499	275	303	454
Mir107	0	0	0	0	0	0
Kif20b	195	127	128	134	160	152
Mir1950	0	0	1	0	0	0
Htr7	2	6	4	2	4	10
Rpp30	251	259	453	255	281	332
Ankrd1	0	4	2	1	0	0
NA	0	0	0	0	0	0
Pcgf5	178	208	311	267	389	398
F530104D19Rik	1	0	5	2	9	6
Hectd2	108	138	236	86	121	69
Hectd2os	2	3	0	5	15	17
Ppp1r3c	748	1112	1248	756	690	1218
Tnks2	7401	9332	12945	9684	11412	13932
Fgfbp3	76	275	218	223	99	201
Btaf1	1968	2010	3194	2988	3382	2579
Cpeb3	524	803	883	279	372	411
A330032B11Rik	3	1	7	0	2	1
Marchf5	1939	2386	3381	1871	2052	2602
4931408D14Rik	3	42	2	85	1	0
Ide	3768	5862	4687	5441	4581	3138
Kif11	320	208	275	556	775	1002
Hhex	179	227	335	116	101	108
Exoc6	1097	1223	1782	1706	1895	1902
Cyp26c1	210	97	130	2	22	4
Cyp26a1	7359	2161	4017	218	786	197
Myof	5608	7880	12501	5929	6950	12286
I830134H01Rik	2	4	2	0	0	0
Cep55	93	51	28	69	95	88
Ffar4	6	18	30	16	28	34
Rbp4	143	189	172	34	20	35
Pde6c	0	0	2	0	0	0
Fra10ac1	559	558	2040	455	485	528
Lgi1	27	120	625	4	5	2
Slc35g1	869	796	935	813	982	717
Plce1	8081	7973	9914	3813	6122	3308
Noc3l	963	817	1693	718	910	745
Tbc1d12	586	928	1617	476	514	663
Hells	129	105	173	141	158	167
Cyp2c55	6	4	8	0	0	0
Cyp2c65	0	0	2	0	0	0
Cyp2c66	0	0	0	0	0	0
Cyp2c53-ps	0	0	0	0	0	0
Cyp2c29	0	0	0	0	0	0
Cyp2c38	0	3	0	0	0	0
Cyp2c39	0	0	0	0	0	0
Cyp2c67	0	0	0	0	0	0
Cyp2c68	0	0	0	0	0	0
Cyp2c40	0	0	0	0	0	0
Cyp2c69	0	0	0	0	0	0
Cyp2c37	0	0	0	0	0	0
Cyp2c54	0	0	0	0	0	0
Cyp2c50	0	0	0	0	0	0
Cyp2c70	0	0	0	0	0	0
Pdlim1	4073	5582	14046	7204	5248	7589
Sorbs1	2684	4259	8993	3452	2921	4536
Aldh18a1	10762	13121	18584	11987	8836	7210
Tctn3	2309	2840	4061	8365	7242	11105
Entpd1	4369	6084	8642	3393	4766	5239
Cc2d2b	16	46	45	17	25	37
Ccnj	330	321	613	323	440	467
E030044B06Rik	0	1	0	0	2	28
Zfp518a	1255	1200	1764	1068	1332	1369
Blnk	2135	1712	1536	1845	2306	2446
A130015J22Rik	18	19	42	48	95	142
C330026H20Rik	10	19	35	39	58	127
Dntt	0	0	4	0	5	0
Opalin	0	0	0	0	0	0
Tll2	22	21	59	22	16	4
Tm9sf3	15854	16316	22832	19663	24092	23550
Pik3ap1	1279	1928	5718	426	276	764
Morf4l1b	185	207	276	204	380	344
Lcor	328	325	534	354	646	401
NA	214	225	323	213	295	192
Slit1	95	114	129	13	6	10
Gm19424	0	0	0	2	0	0
Arhgap19	221	347	421	175	209	260
Frat1	83	169	180	101	83	98
Frat2	68	236	325	87	75	101
Rrp12	584	331	908	716	953	641
Pgam1	3394	3009	4133	4301	5482	3977
Exosc1	523	469	1008	529	675	668
Zdhhc16	809	671	1207	571	753	555
Mms19	2195	2704	3796	2206	2581	3149
Ubtd1	1000	1042	1348	1399	1135	1177
Ankrd2	2	0	7	5	0	2
Hoga1	135	133	228	312	158	263
4933411K16Rik	19	19	28	41	39	17
Morn4	383	655	1195	954	949	1195
Pi4k2a	1912	2522	3745	2923	2676	3373
Avpi1	626	659	1019	1099	822	1244
Marveld1	3358	4626	7214	3225	2408	3061
Zfyve27	1621	2114	2661	1563	1896	2014
Sfrp5	72	97	279	65	45	62
Golga7b	9	11	28	22	8	50
Mir3085	0	0	0	0	0	0
Crtac1	108	36	75	16	151	20
R3hcc1l	884	915	1262	1027	1191	1672
NA	0	0	0	0	0	0
Loxl4	714	501	996	148	150	86
Pyroxd2	2641	2149	3286	4549	5251	7270
NA	16	14	21	32	98	32
Hps1	1272	1239	1729	1417	1800	1969
NA	19	20	25	14	19	24
NA	31	67	98	49	36	40
Hpse2	4	0	2	0	0	0
Cnnm1	0	6	0	0	2	1
Got1	981	679	1281	1526	1666	1573
Nkx2-3	0	0	0	0	0	0
Slc25a28	856	1125	1577	794	740	986
BC037704	42	80	175	89	54	89
Entpd7	495	459	663	735	898	781
Cox15	1533	1221	1961	1103	1436	1278
Cutc	411	433	573	338	399	565
Abcc2	10	22	36	13	8	2
Gm10768	1	13	12	2	5	2
Dnmbp	2086	2363	4053	2220	2526	2838
Cpn1	185	178	228	554	955	1278
Cyp2c23	4	52	33	17	2	18
Erlin1	919	822	1335	576	915	812
Chuk	2209	2035	3484	4453	4768	5848
Cwf19l1	384	483	765	381	402	531
Bloc1s2	512	578	803	473	557	694
Pkd2l1	68	51	88	10	25	38
Scd3	128	165	301	151	162	202
Scd2	58069	52347	102537	35665	53760	37098
Mir5114	0	0	0	0	0	0
Gm19494	0	1	0	0	2	0
Scd4	24	54	99	42	27	42
Scd1	3001	3363	10283	952	929	635
Wnt8b	0	7	1	2	2	4
Sec31b	102	190	353	162	144	220
Ndufb8	3431	2677	4988	2289	2886	2479
Hif1an	2065	2177	3215	2395	2784	3022
Pax2	3030	3444	5978	400	305	295
1700039E22Rik	47	41	101	6	2	2
Slf2	1445	1731	2668	1466	1661	2086
4930414N06Rik	1	1	1	0	2	0
Sema4g	402	668	983	188	271	274
Mrpl43	1610	1743	2410	1631	1898	1980
Twnk	1064	962	1627	879	1432	1360
Lzts2	6636	6901	9670	3793	5653	5393
Pdzd7	241	330	336	226	307	370
Sfxn3	2215	3175	3765	4418	3409	5512
Kazald1	163	223	432	231	143	273
Tlx1	0	0	0	0	2	0
Lbx1	13	3	11	0	0	0
Btrc	1223	1538	2501	1464	1766	2330
Gm19639	0	0	5	0	0	0
Poll	380	565	723	504	545	864
NA	1	0	0	0	1	1
Dpcd	665	739	1074	2290	2706	3625
Fbxw4	701	861	1277	763	891	1212
4933429K18Rik	0	0	0	0	0	0
Fgf8	9	15	30	0	0	0
Npm3	1015	700	1532	606	773	741
NA	1	0	6	2	1	0
Oga	4752	5853	9626	5773	7166	9392
Kcnip2	100	100	164	30	12	144
Armh3	1259	1396	2110	1369	1483	1465
Hps6	470	403	812	518	521	631
Ldb1	6439	8493	11803	5087	5743	7040
Pprc1	1641	1005	2346	749	1471	581
Nolc1	1908	1686	3510	1582	2464	2064
Elovl3	4	18	0	2	2	1
Pitx3	0	0	0	0	0	0
Gbf1	5280	4915	7657	5012	6835	5339
4833438C02Rik	349	384	655	531	414	610
Nfkb2	1467	1982	2478	1628	1811	2355
Psd	3939	7571	11439	2977	2085	1111
Fbxl15	170	218	319	226	236	249
Cuedc2	1763	2146	3134	1854	2028	2267
Mir146b	0	1	0	0	0	0
2310034G01Rik	242	264	440	1560	1258	2680
Mfsd13a	856	1094	1499	1560	1188	1428
Actr1a	4724	4878	6793	2884	3479	3106
Sufu	478	744	1044	354	388	345
NA	353	419	640	188	208	247
AW124847	113	101	175	125	155	141
Trim8	4392	5634	8885	4732	4892	6402
Arl3	1260	1686	2778	3279	3156	4445
Sfxn2	549	640	1187	636	704	908
Wbp1l	6572	8549	11775	4492	5266	5521
Cyp17a1	0	9	1	2	2	0
Borcs7	725	998	1093	931	840	904
As3mt	834	1065	1260	959	1184	1254
Cnnm2	770	1524	1777	1618	1717	2151
Nt5c2	3540	3688	6829	2797	3183	3227
Ina	2	10	16	2	0	0
Pcgf6	391	548	934	588	724	873
Taf5	305	348	529	185	198	183
Atp5md	1865	1247	2161	1492	1738	1473
Pdcd11	1919	1856	3393	1741	2323	2256
Calhm2	317	393	541	194	207	263
Calhm1	0	0	1	0	0	0
Neurl1a	540	692	1118	2192	2093	2925
Sh3pxd2a	29464	28148	42570	7915	18872	5370
Stn1	764	714	981	593	702	792
